Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,Ratings_Imputed,Revenue_Imputed,Airtime_Imputed,SetimentScore_Imputed,BiasScore_Imputed,Viewership_Imputed,Shares_Imputed,AdSpend_Imputed,ControversyFlag_Imputed,MissingDataFlag_Clean,SocialMediaInteractions_Imputed
Ansar Abbasi,Hum News,Jang,Khyber Pakhtunkhwa,Multan,Politics,Opposition stages walkout in National Assembly,55.49601863,19998383.0,176.0,-0.8709688065,2.0,953029.5,42798.0,5000000.0,,0.0,2020-11-21,Urdu,Opposition,23149.0,True,False,False,False,False,True,False,True,True,1,True
Ansar Abbasi,Geo News,The News,Sindh,Rawalpindi,Media,Dawn faces backlash over editorial,58.592160105000005,5000000.0,260.0,-0.038432283205,1.0,587874.0,109515.5,10000000.0,Yes,0.0,2019-02-28,Urdu,Pro-Govt,39763.0,True,False,False,True,False,False,True,False,False,1,False
Umar Cheema,Express News,Jang,Sindh,Islamabad,Economy,Remittances fall sharply in July,59.56691534,1000000.0,274.0,-0.8933427239,3.0,554894.0,104768.0,5000000.0,Yes,,2023-02-21,Urdu,Neutral,22454.0,True,False,True,False,True,False,True,False,False,1,True
Shahzeb Khanzada,Dawn News,The News,Punjab,Lahore,Judiciary,"Judiciary under pressure, say analysts",61.95603449,5000000.0,35.0,-0.2310886424,3.0,1023712.5,152518.0,559779.337,No,,2023-09-27,English,Opposition,4977.0,False,False,False,True,False,True,False,False,False,1,False
Kamran Khan,Geo News,Nawa-i-Waqt,Azad Jammu & Kashmir,Multan,Terrorism,Suicide bombing in Peshawar mosque,0.0,5000000.0,160.0,0.136322051,3.0,817878.0,6279.0,5000000.0,No,0.0,2025-04-07,English,Neutral,12765.0,False,False,False,True,False,False,False,False,False,1,False
Kamran Khan,Geo News,Dawn,Khyber Pakhtunkhwa,Peshawar,Sports,Cricket team departs for World Cup,68.76156512,1000000.0,246.0,-0.096119841525,,1012541.0,154045.0,5000000.0,,0.0,2023-06-12,Urdu,,25192.0,False,False,True,True,True,True,False,True,True,1,False
Asma Shirazi,Dawn News,The News,Azad Jammu & Kashmir,Quetta,Sports,Pakistan football team defeats India,54.31346769,1000000.0,259.0,-0.1226642462,3.0,1033934.0,97504.0,5000000.0,No,,2024-08-09,Urdu,Pro-Govt,29374.0,True,False,True,True,True,True,False,False,False,1,False
Umar Cheema,ARY News,The News,Khyber Pakhtunkhwa,Peshawar,Terrorism,Security forces foil major terror bid,49.83104669,5110248.0,370.0,0.13618633759999998,5.0,1194542.0,168700.0,10000000.0,Yes,0.0,2018-04-19,English,Pro-Govt,23046.0,False,False,False,True,False,False,False,False,False,1,False
Umar Cheema,ARY News,Nawa-i-Waqt,Punjab,Quetta,Judiciary,High Court stays government decision,49.07079201,1000000.0,243.0,-1.848753991,3.0,999644.0,96990.0,3932270.276,No,1.0,2025-04-20,Urdu,Neutral,21605.0,False,False,True,False,True,True,True,False,False,1,False
Umar Cheema,SAMAA TV,Jang,Punjab,Quetta,Health,NDMA warns of heavy rains in Punjab,58.93298246,7944968.0,281.5,1.918924026,3.0,1123518.0,46030.0,10000000.0,Yes,,2024-01-23,English,Pro-Govt,29779.0,True,False,True,False,True,True,False,False,False,1,False
Matiullah Jan,Dawn News,Dawn,Balochistan,Lahore,Sports,Women cricket team sets new record,54.31346769,5000000.0,285.0,-0.1226642462,,1033934.0,182122.0,4535889.417,Yes,0.0,2021-08-02,Urdu,,1860.0,True,False,False,True,True,True,False,False,False,1,False
Umar Cheema,Geo News,Dawn,Islamabad,Multan,Terrorism,Attack on Army convoy in Waziristan,58.592160105000005,4592649.0,235.0,0.136322051,3.0,987399.0,93643.0,2050589.888,Yes,0.0,2022-12-24,,Neutral,12070.0,True,False,True,True,True,True,True,False,False,1,False
Kamran Khan,ARY News,The News,Balochistan,Islamabad,Economy,Exports see slight recovery,56.06780072,20000000.0,497.0,0.2959264266,3.0,984303.0,177709.0,5000000.0,Yes,0.0,2025-10-10,,Neutral,1117.0,True,False,False,False,True,True,False,True,False,1,False
Matiullah Jan,Dawn News,The News,Azad Jammu & Kashmir,Lahore,Terrorism,Five soldiers martyred in ambush,22.14294612,1000000.0,48.0,-0.2664528587,1.0,1043331.0,84924.0,5000000.0,Yes,,2023-04-25,English,Neutral,27640.0,False,False,False,False,False,True,True,True,False,1,True
Shahzeb Khanzada,Geo News,The News,Azad Jammu & Kashmir,Rawalpindi,Terrorism,Five soldiers martyred in ambush,58.592160105000005,20000000.0,33.0,0.8638933758,2.0,987399.0,195322.0,5000000.0,,1.0,2021-06-25,English,Opposition,26639.0,True,False,False,False,False,True,False,False,True,1,False
Ansar Abbasi,Geo News,Nawa-i-Waqt,Azad Jammu & Kashmir,Quetta,Judiciary,Supreme Court issues notice on corruption case,83.45650998,5000000.0,294.0,0.5140242391,,1117476.5,95538.0,5000000.0,,1.0,2019-11-24,,,22690.0,False,True,False,False,True,True,True,True,True,1,True
Mohsin Raza Khan,Geo News,The News,Islamabad,Peshawar,Sports,Pakistan faces defeat in hockey series,100.0,1000000.0,246.0,-0.1344199859,,1012541.0,99141.0,2775615.446,Yes,,2025-02-02,Urdu,,23597.0,False,False,True,False,False,True,True,False,False,1,True
Ansar Abbasi,ARY News,The News,Islamabad,Quetta,Politics,PPP vs PMLN war of words heats up,100.0,5000000.0,219.0,0.22454799715,,1078978.5,78597.0,1779782.995,No,0.0,2021-08-26,English,,4083.0,False,True,False,True,False,True,False,False,False,1,False
Kamran Khan,Hum News,Nawa-i-Waqt,Khyber Pakhtunkhwa,Hyderabad,Politics,Flood relief funds under scrutiny,55.49601863,1000000.0,160.0,-1.344133581,3.0,1043841.0,105099.5,5000000.0,Yes,1.0,2018-12-07,Urdu,Neutral,23149.0,True,False,False,False,True,False,True,True,False,1,True
Shahzeb Khanzada,ARY News,The News,Punjab,Karachi,Health,Health crisis follows floods,88.28560847,1000000.0,236.0,1.965456041,3.0,1971314.0,109149.0,10000000.0,Yes,1.0,2024-02-09,English,Pro-Govt,4106.0,False,False,True,False,True,False,True,False,False,1,False
Kamran Khan,ARY News,Nawa-i-Waqt,Sindh,Hyderabad,Politics,Election rigging scandal unfolds in Lahore,2.233879752,20000000.0,175.0,-1.148517143,3.0,1078978.5,106903.5,5000000.0,Yes,1.0,2023-02-21,Urdu,Opposition,7312.0,False,False,False,False,False,True,True,True,False,1,False
Saleem Safi,Hum News,Jang,Islamabad,Multan,Health,Dengue cases rising in Lahore hospitals,55.49601863,1000000.0,262.0,-0.8043752763,5.0,1170953.0,67612.0,5000000.0,Yes,1.0,2025-01-06,Urdu,Opposition,28752.0,True,False,True,False,False,True,False,True,False,1,True
Rauf Klassra,Express News,Express Tribune,Sindh,Multan,Economy,Exports see slight recovery,59.56691534,5000000.0,130.0,1.11956325,,1095390.5,104768.0,2694329.795,Yes,0.0,2022-03-14,English,,22454.0,True,True,False,False,False,True,True,False,False,1,True
Kamran Shahid,Express News,Daily Pakistan,Balochistan,Peshawar,Judiciary,Chief Justice orders suo moto on Karachi violence,3.045681607,3715541.0,252.0,0.2638459947,4.0,1130490.0,99279.0,10000000.0,Yes,1.0,2019-01-22,Urdu,Pro-Govt,29698.0,False,False,True,False,False,True,True,False,False,1,False
Shahzeb Khanzada,Dawn News,Nawa-i-Waqt,Punjab,Karachi,Economy,Budget deficit reaches record high,54.31346769,4607917.0,268.0,-0.4764006576,,1003109.0,88527.0,10000000.0,No,0.0,2018-08-04,Urdu,,48307.0,True,False,True,False,True,True,False,False,False,1,False
Asma Shirazi,Geo News,Jang,Sindh,Lahore,Health,Health workers go on strike in Punjab,58.592160105000005,5000000.0,101.0,0.8508295222,3.0,1087522.0,99362.0,10000000.0,No,,2025-12-13,English,Pro-Govt,6845.0,True,False,False,False,False,True,True,False,False,1,False
Dr. Shahid Masood,Abb Takk News,Daily Pakistan,Punjab,Karachi,Terrorism,Bomb blast near Karachi market,58.74782338,5000000.0,235.0,-1.174308916,5.0,755329.5,118241.0,5000000.0,,0.0,2023-05-24,English,Opposition,6654.0,True,True,True,False,False,True,False,False,True,1,False
Talat Hussain,Geo News,Nawa-i-Waqt,Islamabad,Karachi,Sports,Hockey team faces funding crisis,58.592160105000005,5000000.0,151.0,-0.096119841525,3.0,1012541.0,137745.0,5000000.0,,,2021-03-27,,Neutral,23597.0,True,False,False,True,False,True,False,True,True,1,True
Umar Cheema,Abb Takk News,Dawn,Sindh,Peshawar,Education,Punjab launches scholarship scheme,0.0,1000000.0,189.0,1.552741208,3.0,1021994.5,94994.0,5000000.0,No,1.0,2021-12-08,,Neutral,19454.0,False,False,True,False,False,True,True,True,False,1,True
Rauf Klassra,SAMAA TV,Nawa-i-Waqt,Islamabad,Rawalpindi,Economy,IMF deal finalised today,58.93298246,8660112.0,264.5,0.088017855335,3.0,1120049.0,124737.0,649737.2569,No,1.0,2020-03-21,Urdu,Opposition,4240.0,True,False,True,True,False,True,False,False,False,1,False
Owais Tohid,Hum News,Dawn,Punjab,Islamabad,Terrorism,Bomb blast near Karachi market,55.49601863,17105775.0,203.0,0.015123105319499999,,893609.5,97732.0,5000000.0,Yes,,2021-09-06,,,26427.0,True,False,True,True,True,True,True,False,False,1,False
Ansar Abbasi,SAMAA TV,Nawa-i-Waqt,Islamabad,Karachi,Politics,Senate passes constitutional amendment,58.93298246,20000000.0,160.0,-0.9517626575,0.0,1132015.0,116825.0,5000000.0,No,,2021-11-17,,Neutral,43052.0,True,False,False,False,False,False,False,True,False,1,False
Kamran Khan,Hum News,Daily Pakistan,Azad Jammu & Kashmir,Lahore,Education,Punjab launches scholarship scheme,4.094381277,18782097.0,220.0,-0.69905055,,1137773.0,106980.0,1046743.078,Yes,,2021-03-12,English,,31468.0,False,False,True,False,True,True,True,False,False,1,False
Owais Tohid,Geo News,The News,Islamabad,Quetta,Education,Curriculum reforms announced,58.592160105000005,5000000.0,275.0,-0.3226669595,5.0,1815317.0,101178.0,1995266.471,No,0.0,2021-07-19,,Neutral,26320.0,True,True,True,True,False,False,True,False,False,1,True
Asma Shirazi,Geo News,Nawa-i-Waqt,Islamabad,Quetta,Sports,Hockey team faces funding crisis,9.800372589,1000000.0,330.0,-0.096119841525,3.0,1329819.0,44801.0,4430479.859,,1.0,2018-02-27,,Pro-Govt,23597.0,False,False,False,True,True,False,False,False,True,1,True
Rauf Klassra,Hum News,Jang,Balochistan,Quetta,Media,News anchor resigns citing threats,55.49601863,1000000.0,149.0,0.8038024018,3.0,1061382.0,115709.0,10000000.0,No,,2024-07-08,Urdu,Neutral,25844.0,True,False,False,False,True,True,False,False,False,1,True
Umar Cheema,Express News,Nawa-i-Waqt,Sindh,Rawalpindi,Health,Villages submerged in southern Punjab,66.12470446,5000000.0,202.0,0.3304978546,1.0,1331112.0,107753.0,5000000.0,No,0.0,2023-05-04,Urdu,Opposition,23014.0,False,True,False,True,False,True,True,False,False,1,True
Najam Sethi,SAMAA TV,Daily Pakistan,Azad Jammu & Kashmir,Quetta,Economy,PM announces new economic reforms,19.78534726,5000000.0,264.5,0.088017855335,3.0,1120049.0,95643.5,3743828.005,,0.0,2018-12-21,Urdu,Neutral,24924.0,False,False,True,True,True,True,True,False,True,1,False
Najam Sethi,Dawn News,Express Tribune,Islamabad,Peshawar,Economy,Trade deficit widens again,54.31346769,20000000.0,268.0,0.1821168946,1.0,119999.0,107905.0,10000000.0,No,,2018-03-14,Urdu,Pro-Govt,4528.0,True,False,True,True,False,False,True,False,False,1,False
Mohsin Raza Khan,ARY News,The News,Sindh,Islamabad,Economy,PM announces new economic reforms,98.94008014,5000000.0,93.0,0.019117020443,3.0,136222.0,69699.0,5000000.0,,1.0,2023-10-24,Urdu,Neutral,25935.5,False,True,False,True,True,False,False,False,True,1,True
Rauf Klassra,Geo News,Express Tribune,Balochistan,Hyderabad,Economy,Budget deficit reaches record high,0.05457336439,5000000.0,278.0,-0.06426348043999999,3.0,904352.0,124892.0,5000000.0,No,1.0,2022-06-28,Urdu,Neutral,25917.5,False,False,True,True,True,True,False,False,False,1,True
Nusrat Javed,ARY News,The News,Islamabad,Karachi,Media,Cabinet approves controversial media law,0.0,20000000.0,409.0,-0.05195834602,5.0,1015495.0,119789.0,1932042.325,No,0.0,2020-10-14,English,Pro-Govt,23456.0,False,False,False,True,False,True,True,False,False,1,True
Nusrat Javed,ARY News,Daily Pakistan,Azad Jammu & Kashmir,Karachi,Economy,Exports see slight recovery,37.23377735,1000000.0,230.5,0.019117020443,0.0,984303.0,71305.0,5000000.0,No,1.0,2023-03-21,Urdu,Opposition,25935.5,False,False,True,True,False,True,False,True,False,1,True
Owais Tohid,ARY News,Dawn,Azad Jammu & Kashmir,Karachi,Education,Education ministry faces criticism,56.06780072,1000000.0,470.0,-1.584900262,3.0,902654.0,30115.0,311644.1383,Yes,1.0,2023-08-01,English,Opposition,35693.0,True,False,False,False,True,False,False,False,False,1,False
Dr. Shahid Masood,Hum News,Jang,Punjab,Multan,Media,Dawn faces backlash over editorial,55.49601863,1000000.0,469.0,0.7068342619,3.0,302800.0,104273.0,5000000.0,No,1.0,2025-01-12,English,Opposition,5124.0,True,False,False,False,False,False,True,False,False,1,False
Dr. Shahid Masood,Hum News,Daily Pakistan,Punjab,Peshawar,Health,Mental health awareness campaign launched,0.9964727595,15686032.0,262.0,-1.934714038,0.0,1170953.0,166713.0,5000000.0,Yes,0.0,2025-04-04,Urdu,Opposition,26503.0,False,False,True,False,False,True,False,False,False,1,False
Mohsin Raza Khan,Geo News,Jang,Sindh,Multan,Judiciary,Supreme Court issues notice on corruption case,99.6800772,1000000.0,251.0,1.503587231,3.0,1117476.5,95538.0,10000000.0,Yes,,2020-08-28,Urdu,Pro-Govt,16119.0,False,False,True,False,True,True,True,False,False,1,False
Saleem Safi,Express News,Express Tribune,Islamabad,Multan,Economy,IMF deal finalised today,59.56691534,5000000.0,175.0,0.9020161641,3.0,213778.0,104768.0,4492428.434,No,1.0,2025-06-22,English,Neutral,35012.0,True,False,False,False,True,False,True,False,False,1,False
Dr. Shahid Masood,Hum News,Daily Pakistan,Azad Jammu & Kashmir,Quetta,Health,Karachi drainage system collapses,26.67847587,20000000.0,262.0,0.451161345,,1170953.0,102152.5,10000000.0,No,0.0,2022-09-09,,,28752.0,False,False,True,False,False,True,True,False,False,1,True
Mohsin Raza Khan,Express News,Daily Pakistan,Balochistan,Karachi,Education,Teachers boycott classes in KP,66.47051232,5000000.0,239.0,0.009478904941,3.0,1001435.5,54564.0,10000000.0,,1.0,2020-08-28,Urdu,Neutral,24959.0,False,False,True,True,True,True,False,False,True,1,False
Shahzeb Khanzada,ARY News,Jang,Azad Jammu & Kashmir,Lahore,Media,Cabinet approves controversial media law,87.21112889,1000000.0,241.0,-0.05195834602,2.0,254801.0,39365.0,5000000.0,No,,2023-09-11,Urdu,Opposition,32213.0,False,False,True,True,False,False,False,False,False,1,False
Rauf Klassra,SAMAA TV,Jang,Sindh,Islamabad,Judiciary,Chief Justice orders suo moto on Karachi violence,58.93298246,3008422.0,147.0,0.1385689893,2.0,892989.0,98496.0,3018827.233,No,,2019-04-27,Urdu,Pro-Govt,40352.0,True,False,False,True,False,True,False,False,False,1,False
Matiullah Jan,Hum News,Dawn,Khyber Pakhtunkhwa,Lahore,Economy,Revenue from tax declines drastically,17.98724661,20000000.0,233.5,-1.116102753,1.0,1378813.0,110882.0,5000000.0,No,0.0,2025-01-12,,Neutral,47531.0,False,False,True,False,False,False,False,True,False,1,False
Saleem Safi,Dawn News,Nawa-i-Waqt,Punjab,Karachi,Politics,Election rigging scandal unfolds in Lahore,45.24796609,5000000.0,155.0,0.05971328632,3.0,985675.0,28660.0,10000000.0,No,0.0,2024-02-09,English,Opposition,10640.0,False,True,False,False,True,True,False,False,False,1,False
Saleem Safi,ARY News,Jang,Azad Jammu & Kashmir,Hyderabad,Health,Villages submerged in southern Punjab,20.61679324,1000000.0,236.0,-0.4877864094,2.0,1000345.0,120135.0,3545173.472,Yes,,2024-06-12,Urdu,Neutral,39201.0,False,False,True,False,False,True,False,False,False,1,False
Mohsin Raza Khan,ARY News,Jang,Balochistan,Islamabad,Judiciary,Court orders release of missing persons,56.06780072,5000000.0,68.0,0.5004913883,0.0,999644.0,57394.0,5000000.0,No,0.0,2018-01-04,Urdu,Neutral,22627.5,True,True,False,False,False,True,False,True,False,1,True
Mohsin Raza Khan,SAMAA TV,Daily Pakistan,Sindh,Rawalpindi,Media,PEMRA issues warning to multiple channels,37.39029519,5000000.0,75.0,0.095366066805,3.0,928205.0,104267.0,239086.4151,Yes,0.0,2024-03-10,English,Opposition,7469.0,False,True,False,True,True,True,True,False,False,1,False
Shahzeb Khanzada,Express News,Daily Pakistan,Punjab,Multan,Terrorism,Security forces foil major terror bid,84.28339237,20000000.0,310.0,0.6582008754,3.0,1169756.0,194926.0,5000000.0,No,1.0,2025-11-16,Urdu,Neutral,24329.0,False,False,False,False,False,True,False,True,False,1,True
Kamran Khan,Geo News,Express Tribune,Khyber Pakhtunkhwa,Islamabad,Education,HEC budget slashed again,58.592160105000005,1965505.0,275.0,1.617975143,4.0,1040577.0,29889.0,5000000.0,Yes,0.0,2021-10-17,English,Opposition,26320.0,True,False,True,False,False,True,False,False,False,1,True
Rauf Klassra,ARY News,Dawn,Punjab,Quetta,Judiciary,Chief Justice orders suo moto on Karachi violence,25.8276565,5000000.0,113.0,0.036428137145,3.0,1946925.0,96990.0,5000000.0,No,1.0,2023-08-03,Urdu,Neutral,39412.0,False,False,False,True,False,False,True,True,False,1,False
Owais Tohid,Dawn News,Nawa-i-Waqt,Khyber Pakhtunkhwa,Rawalpindi,Politics,Election rigging scandal unfolds in Lahore,14.04576476,20000000.0,233.5,-0.232060017,1.0,1420016.0,97786.0,5000000.0,,1.0,2018-02-27,English,Neutral,28508.0,False,False,True,True,False,False,True,True,True,1,False
Nusrat Javed,ARY News,The News,Islamabad,Peshawar,Education,HEC budget slashed again,60.73928833,20000000.0,253.0,1.44677388,0.0,727749.0,95316.0,5000000.0,Yes,,2020-10-10,Urdu,Neutral,22669.0,False,False,True,False,False,False,True,False,False,1,False
Mohsin Raza Khan,SAMAA TV,Jang,Azad Jammu & Kashmir,Peshawar,Economy,Revenue from tax declines drastically,32.55302989,5000000.0,264.5,0.088017855335,,1120049.0,112378.0,5000000.0,No,1.0,2020-08-28,Urdu,,24801.0,False,False,True,True,True,True,False,False,False,1,True
Shahzeb Khanzada,Hum News,Nawa-i-Waqt,Islamabad,Quetta,Politics,Army chief meets PM over political crisis,33.21570831,5000000.0,248.5,-0.3266747345,,580710.0,126596.0,10000000.0,No,1.0,2020-12-01,English,,23149.0,False,True,True,True,False,False,False,False,False,1,True
Matiullah Jan,Express News,Jang,Islamabad,Hyderabad,Sports,Babar Azam century wins the game,59.56691534,20000000.0,275.0,-1.661063222,,1988889.0,107981.0,10000000.0,No,1.0,2018-11-28,English,,39520.0,True,False,True,False,True,False,True,False,False,1,False
Dr. Shahid Masood,ARY News,Express Tribune,Azad Jammu & Kashmir,Peshawar,Media,Journalists protest censorship in Islamabad,93.17796184,5000000.0,241.0,-1.184778124,,1015495.0,119789.0,10000000.0,No,0.0,2025-08-17,Urdu,,23456.0,False,False,True,False,False,True,True,False,False,1,True
Kamran Khan,Dawn News,Nawa-i-Waqt,Punjab,Lahore,Economy,Government to increase petrol price by Rs. 20,54.31346769,15479399.0,380.0,1.167382258,3.0,1003109.0,107905.0,5000000.0,Yes,,2018-06-27,Urdu,Opposition,23678.5,True,False,False,False,True,True,True,False,False,1,True
Kamran Khan,ARY News,Daily Pakistan,Islamabad,Karachi,Crime,Counter-terrorism department arrests suspects,74.25988155,5000000.0,108.0,-0.1713919356,2.0,781515.0,78525.0,10000000.0,No,0.0,2024-01-24,Urdu,Pro-Govt,45068.0,False,False,False,True,False,True,True,False,False,1,False
Rauf Klassra,Geo News,Jang,Balochistan,Islamabad,Terrorism,Quetta blast: ISPR releases statement,58.592160105000005,20000000.0,196.0,0.1402590955,3.0,191130.0,158809.0,5000000.0,No,1.0,2019-07-15,,Opposition,19455.0,True,False,False,False,True,False,False,True,False,1,False
Mohsin Raza Khan,ARY News,Express Tribune,Sindh,Quetta,Terrorism,Bomb blast near Karachi market,56.06780072,5000000.0,227.0,0.13618633759999998,5.0,1110405.0,90185.0,5000000.0,No,1.0,2025-03-23,English,Opposition,24118.0,True,True,True,True,False,True,True,False,False,1,True
Dr. Shahid Masood,Geo News,Nawa-i-Waqt,Azad Jammu & Kashmir,Rawalpindi,Media,PEMRA issues warning to multiple channels,58.592160105000005,5000000.0,106.0,-0.4035969278,3.0,849756.0,109515.5,2611462.346,Yes,0.0,2020-02-23,Urdu,Opposition,16826.0,True,False,False,False,True,True,True,False,False,1,False
Mohsin Raza Khan,Hum News,Jang,Balochistan,Quetta,Politics,Flood relief funds under scrutiny,100.0,5000000.0,248.5,-1.904478622,2.0,1989903.0,187359.0,5000000.0,,0.0,2019-03-08,Urdu,Neutral,24481.0,False,True,True,False,False,False,False,False,True,1,False
Asma Shirazi,Geo News,The News,Khyber Pakhtunkhwa,Peshawar,Terrorism,Security forces foil major terror bid,58.592160105000005,1000000.0,356.0,0.136322051,,987399.0,93643.0,5000000.0,Yes,,2018-03-23,,,10030.0,True,False,False,True,True,True,True,True,False,1,False
Shahzeb Khanzada,Abb Takk News,Jang,Khyber Pakhtunkhwa,Lahore,Sports,Pakistan faces defeat in hockey series,38.11271022,1000000.0,354.0,-0.4324869724,3.0,922532.0,89794.5,2358895.762,,1.0,2018-10-24,English,Neutral,21996.0,False,False,False,True,True,True,True,False,True,1,True
Nusrat Javed,ARY News,Dawn,Balochistan,Lahore,Health,NDMA warns of heavy rains in Punjab,56.06780072,20000000.0,236.0,-0.7766530154,,1000345.0,149602.0,5000000.0,Yes,1.0,2018-03-06,English,,24817.0,True,False,True,False,False,True,False,False,False,1,True
Ansar Abbasi,Geo News,Daily Pakistan,Khyber Pakhtunkhwa,Lahore,Economy,Pakistan seeks investment from Gulf countries,58.592160105000005,7447644.0,278.0,-0.02904469423,3.0,904352.0,101828.5,5000000.0,No,,2025-03-07,Urdu,Pro-Govt,18073.0,True,False,True,False,True,True,True,True,False,1,False
Kamran Khan,Geo News,The News,Islamabad,Lahore,Sports,New talent emerges in under-19 cricket,10.89871793,5000000.0,246.0,-0.5513887175,3.0,10468.0,99141.0,5000000.0,No,0.0,2019-06-11,,Opposition,49471.0,False,False,True,False,True,False,True,False,False,1,False
Dr. Shahid Masood,ARY News,Daily Pakistan,Sindh,Hyderabad,Media,Dawn faces backlash over editorial,12.01367814,18086730.0,171.0,-0.05195834602,5.0,1015495.0,88078.0,5000000.0,No,1.0,2025-07-03,Urdu,Neutral,23456.0,False,False,False,True,False,True,False,False,False,1,True
Owais Tohid,Express News,The News,Islamabad,Multan,Media,Journalists protest censorship in Islamabad,21.48089969,5000000.0,231.0,0.5598558984,,929361.5,97058.0,3409907.49,Yes,1.0,2020-06-19,English,,43004.0,False,True,True,False,True,True,True,False,False,1,False
Dr. Shahid Masood,ARY News,Dawn,Azad Jammu & Kashmir,Rawalpindi,Health,Hospitals face medicine shortages,56.06780072,20000000.0,227.0,0.1519138414,,61910.0,162305.0,10000000.0,Yes,1.0,2020-07-01,,,24817.0,True,False,False,True,True,False,False,False,False,1,True
Kamran Shahid,Hum News,Dawn,Balochistan,Quetta,Politics,PPP vs PMLN war of words heats up,55.49601863,20000000.0,258.0,-0.3266747345,3.0,272694.0,176042.0,5000000.0,No,,2021-01-25,Urdu,Neutral,589.0,True,False,False,True,True,False,False,True,False,1,False
Asma Shirazi,Express News,Nawa-i-Waqt,Azad Jammu & Kashmir,Peshawar,Economy,IMF deal finalised today,100.0,5000000.0,274.0,1.652815303,,1095390.5,29545.0,5000000.0,No,1.0,2024-08-19,,,22454.0,False,False,True,False,True,True,False,False,False,1,True
Shahzeb Khanzada,Geo News,Jang,Balochistan,Multan,Education,Teachers boycott classes in KP,58.592160105000005,306447.0,247.0,-0.3226669595,,1040577.0,101178.0,655924.9351,Yes,,2023-08-11,Urdu,,26320.0,True,False,False,True,True,True,True,False,False,1,True
